Time,Open,High,Low,Last,Change,%Chg,Volume
2024-08-06,254.92,263.17,254.63,260.75,5.85,+2.30%,88247697
2024-08-05,257.88,262.68,254.64,254.9,-7.75,-2.95%,108856060
2024-08-02,262.61,265.29,260.46,262.65,0.23,+0.09%,105643558
2024-08-01,260.46,262.9,259.71,262.42,4.09,+1.58%,96782579
2024-07-31,259.18,261.35,257.69,258.33,-0.76,-0.29%,114244004
2024-07-30,258.13,259.61,257.3,259.09,1.95,+0.76%,78741150
2024-07-29,255.54,258.04,253.92,257.14,1.58,+0.62%,61320989
2024-07-26,252.75,256.4,252.23,255.56,4.2,+1.67%,70095626
2024-07-25,253.79,256.73,250.84,251.36,-1.44,-0.57%,81382546
2024-07-24,256.21,257.95,252.59,252.8,-3.44,-1.34%,76467043
2024-07-23,256.17,258.06,255.28,256.24,-0.44,-0.17%,61547789
2024-07-22,254.52,256.96,253.28,256.68,2.49,+0.98%,55099621
2024-07-19,255.4,255.4,253.17,254.19,-0.31,-0.12%,55477079
2024-07-18,255.37,259.43,253.97,254.5,-2.08,-0.81%,65300628
2024-07-17,255.01,258.05,254.88,256.58,2.05,+0.81%,69946728
2024-07-16,253.25,254.59,251.83,254.53,2.6,+1.03%,68968868
2024-07-15,251.22,252.38,250.06,251.93,1.01,+0.40%,69274858
2024-07-12,250.82,252.6,250.11,250.92,1.71,+0.69%,75581557
2024-07-11,246.19,250.22,246.19,249.21,6.46,+2.66%,87439922
2024-07-10,242.07,242.76,240.23,242.75,1.76,+0.73%,59386457
2024-07-09,240.62,241.79,238.58,240.99,0.16,+0.07%,57130139
2024-07-08,240.5,241.34,239.89,240.83,0.41,+0.17%,55327991
2024-07-05,240.02,240.66,238.69,240.42,0.77,+0.32%,53104012
2024-07-03,240.15,241.23,239.4,239.65,-0.09,-0.04%,32954786
2024-07-02,239.51,240.23,238.42,239.74,0.96,+0.40%,62104439
2024-07-01,240.23,241.19,237.36,238.78,-2.39,-0.99%,57855502
2024-06-28,240.58,241.99,239.39,241.17,1.49,+0.62%,126972273
2024-06-27,238.19,239.92,237.36,239.68,2.2,+0.93%,62053478
2024-06-26,236.12,238.17,236.1,237.48,-0.31,-0.13%,68490537
2024-06-25,240.97,240.97,236.76,237.79,-3.41,-1.41%,57557143
2024-06-24,239.79,243.7,239.3,241.2,1.68,+0.70%,65095296
2024-06-21,239.33,239.8,237.76,239.52,0.65,+0.27%,163543200
2024-06-20,238.57,239.57,238.29,238.87,-0.61,-0.25%,68410649
2024-06-18,239.29,240.46,238.87,239.48,0.87,+0.36%,59154274
2024-06-17,238.14,239.93,237.29,238.61,-1.68,-0.70%,58091364
2024-06-14,239.61,240.92,238.28,240.29,-0.37,-0.15%,56007644
2024-06-13,239.99,241.4,238.86,240.66,1.16,+0.48%,59956217
2024-06-12,242.64,243.85,239.27,239.5,1.63,+0.69%,67437506
2024-06-11,237.68,239.04,237.25,237.87,-0.65,-0.27%,70718078
2024-06-10,236.49,239.5,235.48,238.52,1.06,+0.45%,70332745
2024-06-07,235.82,237.98,235.64,237.46,-2.07,-0.86%,65131765
2024-06-06,238.28,239.65,237.11,239.53,0.46,+0.19%,52391380
2024-06-05,239.41,239.43,237.91,239.07,-0.34,-0.14%,51192275
2024-06-04,236.86,240.37,236.86,239.41,2.25,+0.95%,71151050
2024-06-03,238.64,238.95,235.96,237.16,-0.84,-0.35%,63603307
2024-05-31,234.71,238.18,233.92,238,4.35,+1.86%,138566257
2024-05-30,231.51,233.65,231.36,233.65,3.48,+1.51%,72857016
2024-05-29,229.88,230.56,229.32,230.17,-2.15,-0.93%,62286601
2024-05-28,234.6,235.86,232.18,232.32,-1.47,-0.63%,61716878
2024-05-24,234.82,234.89,233.58,233.79,0.04,+0.02%,49187767
2024-05-23,238.46,238.52,233.72,233.75,-5.16,-2.16%,57327276
2024-05-22,240.4,241.26,238.22,238.91,-2.07,-0.86%,53061648
2024-05-21,240.47,241.47,240.07,240.98,-0.13,-0.05%,48130756
2024-05-20,242.13,242.96,241.03,241.11,-1.65,-0.68%,49380227
2024-05-17,243.31,243.41,241.95,242.76,-0.02,-0.01%,62462154
2024-05-16,243.56,244.31,242.65,242.78,-0.36,-0.15%,64869310
2024-05-15,243.05,243.92,242.2,243.14,4.03,+1.69%,71642361
2024-05-14,238.47,240.3,238,239.11,1.64,+0.69%,57900033
2024-05-13,237.87,238.83,236.21,237.47,0.69,+0.29%,57360302
