Time,Open,High,Low,Last,Change,%Chg,Volume
2025-06-18,675.18,679.08,668.04,669.33,-4.57,-0.68%,169776156
2025-06-17,672.32,678.77,668.99,673.9,6.87,+1.03%,183265704
2025-06-16,666.38,673.58,662.05,667.03,-1.97,-0.29%,194696248
2025-06-13,668.8,672.21,660.69,669,11.33,+1.72%,228999771
2025-06-12,652.17,658.04,648.29,657.67,2.66,+0.41%,127506394
2025-06-11,649.08,655.8,643.82,655.01,9.6,+1.49%,161281750
2025-06-10,638.15,649.53,638.15,645.41,11.22,+1.77%,162035674
2025-06-09,634.98,640.52,630.26,634.19,1.42,+0.22%,143812135
2025-06-06,624.89,634.23,624.89,632.77,12.32,+1.99%,117091518
2025-06-05,625.45,625.67,619.32,620.45,-1.01,-0.16%,118037362
2025-06-04,632.54,638.22,620.8,621.46,-11.96,-1.89%,152816480
2025-06-03,626.13,637.56,621.04,633.42,6.96,+1.11%,154526549
2025-06-02,629.54,630.51,620.04,626.46,7.12,+1.15%,161257470
2025-05-30,620.79,621.54,613.72,619.34,-4.23,-0.68%,254453195
2025-05-29,620.36,623.92,616.65,623.57,4.16,+0.67%,130387736
2025-05-28,629.8,631.69,617.76,619.41,-7.83,-1.25%,133101112
2025-05-27,625.99,628.11,621.98,627.24,5.24,+0.84%,154576776
2025-05-23,615.74,623.68,614.86,622,1.76,+0.28%,116536060
2025-05-22,619.53,623.67,612.86,620.24,-2.76,-0.44%,131870974
2025-05-21,631.77,631.78,622.94,623,-11.39,-1.80%,151054710
2025-05-20,640.47,641.09,633.75,634.39,-6.35,-0.99%,120200899
2025-05-19,644.04,644.04,635.98,640.74,-10.07,-1.55%,119249291
2025-05-16,653.81,653.84,644.62,650.81,-1.2,-0.18%,131144399
2025-05-15,640.98,652.48,639.35,652.01,0.77,+0.12%,151266457
2025-05-14,650.5,653.35,648.46,651.24,-3.87,-0.59%,128097823
2025-05-13,649.71,660.33,647.46,655.11,8.56,+1.32%,154253132
2025-05-12,653.25,656.33,642.08,646.55,15.61,+2.47%,172071854
2025-05-09,631.02,633.62,625.9,630.94,6.53,+1.05%,124865279
2025-05-08,621.55,632.92,621.55,624.41,7.75,+1.26%,213399487
2025-05-07,617.45,619.71,612.32,616.66,0.48,+0.08%,166482990
2025-05-06,616.88,621.78,612.89,616.18,0.6,+0.10%,196953087
2025-05-05,619.81,620.03,612.79,615.58,-12.7,-2.02%,185360583
2025-05-02,628.72,631.78,615.72,628.28,8.52,+1.37%,150455562
2025-05-01,613.84,627.54,613.84,619.76,2.29,+0.37%,175435094
2025-04-30,625.58,625.62,609.9,617.47,-16.58,-2.61%,192124748
2025-04-29,631.85,636.98,628.66,634.05,-2.34,-0.37%,118857795
2025-04-28,632.01,638.17,630.7,636.39,3.98,+0.63%,122004982
2025-04-25,628.19,632.85,625.68,632.41,-0.72,-0.11%,125481094
2025-04-24,627.32,635.05,624.14,633.13,9.16,+1.47%,139981708
2025-04-23,630.75,635.07,620.18,623.97,-1.69,-0.27%,189750312
2025-04-22,617.5,629.77,615.34,625.66,16,+2.62%,168964714
2025-04-21,616.07,617.06,603.01,609.66,-15.76,-2.52%,145414088
2025-04-17,617.1,634.98,617.1,625.42,13.91,+2.27%,169763655
2025-04-16,609.11,621.37,608.65,611.51,4.83,+0.80%,141312348
2025-04-15,607.59,617.89,606.26,606.68,-0.77,-0.13%,132085741
2025-04-14,618.37,619,601.81,607.45,1.52,+0.25%,149768238
2025-04-11,593,610.02,581.89,605.93,14.79,+2.50%,205139347
2025-04-10,615.29,615.51,579.37,591.14,-40.39,-6.40%,288921281
2025-04-09,577.94,637.44,573.22,631.53,43.88,+7.47%,362774659
2025-04-08,619.25,622.17,578.37,587.65,-14.95,-2.48%,266714368
2025-04-07,587.72,625.44,576.81,602.6,-5.72,-0.94%,317360606
2025-04-04,645.51,648.96,605.7,608.32,-57.96,-8.70%,402095785
2025-04-03,687.08,692.03,665.64,666.28,-54.11,-7.51%,276671040
2025-04-02,714.13,721.03,712.26,720.39,0.48,+0.07%,119009915
2025-04-01,715.24,720.41,708.74,719.91,4.16,+0.58%,114553837
2025-03-31,706.89,720.11,706.89,715.75,7.6,+1.07%,151165141
2025-03-28,710.35,713.33,704.71,708.15,-3.13,-0.44%,102375581
2025-03-27,716.28,718.44,708.36,711.28,-6.1,-0.85%,128607903
2025-03-26,720.04,725.13,715.94,717.38,4.28,+0.60%,140048049
2025-03-25,713.11,718.73,710.65,713.1,3.31,+0.47%,132016345
2025-03-24,704.47,713.97,704.47,709.79,7.06,+1.00%,146496605
