Time,Open,High,Low,Last,Change,%Chg,Volume
2015-05-26,726.97,726.97,713.78,716.62,-10.36,-1.43%,0
2015-05-22,726.83,729.4,725.73,726.98,0.15,+0.02%,0
2015-05-21,724.24,728.1,722.2,726.83,2.59,+0.36%,0
2015-05-20,724.21,728.44,721.61,724.24,0.03,0.00%,0
2015-05-19,726.03,727.52,723.57,724.21,-1.82,-0.25%,0
2015-05-18,723.03,727.29,720.64,726.03,2.98,+0.41%,0
2015-05-15,726.78,727.5,721.08,723.05,-2.44,-0.34%,0
2015-05-14,713.14,725.67,713.14,725.49,12.35,+1.73%,0
2015-05-13,709.85,717.33,709.85,713.14,3.29,+0.46%,0
2015-05-12,713.69,713.69,704.22,709.85,-3.84,-0.54%,0
2015-05-11,717.69,718.05,713.43,713.69,-4.,-0.56%,0
2015-05-08,706.84,718.14,706.84,717.69,10.85,+1.54%,0
2015-05-07,702.3,709.33,701.4,706.84,4.54,+0.65%,0
2015-05-06,708.03,711.96,697.65,702.3,-5.73,-0.81%,0
2015-05-05,719.28,719.28,707.39,708.03,-11.25,-1.56%,0
2015-05-04,719.33,723.12,719.07,719.28,-0.05,-0.01%,0
2015-05-01,708.92,719.33,708.92,719.33,10.41,+1.47%,0
2015-04-30,720.26,720.26,706.13,708.92,-11.34,-1.57%,0
2015-04-29,723.76,724.47,715.14,720.26,-3.5,-0.48%,0
2015-04-28,722.54,726.65,716.4,723.76,1.22,+0.17%,0
2015-04-27,719.94,725.49,719.94,722.54,2.6,+0.36%,0
2015-04-24,712.82,721.32,712.82,719.94,7.12,+1.00%,0
2015-04-23,711.4,715.94,707.76,712.82,1.42,+0.20%,0
2015-04-22,703.71,712.32,702.63,711.4,7.69,+1.09%,0
2015-04-21,704.17,708.94,703.21,703.71,-0.46,-0.07%,0
2015-04-20,695.05,705.13,692.71,704.17,12.36,+1.79%,0
2015-04-17,697.12,701.17,689.76,691.81,-10.11,-1.44%,0
2015-04-16,703.82,703.82,700.31,701.92,-2.05,-0.29%,0
2015-04-15,697.84,705.98,697.84,703.97,6.13,+0.88%,0
2015-04-14,700.18,701.19,694.44,697.84,-2.36,-0.34%,0
2015-04-13,702.61,706.58,699.89,700.2,-2.41,-0.34%,0
2015-04-10,699.89,702.71,697.72,702.61,2.71,+0.39%,0
2015-04-09,697.1,700.33,693.5,699.9,2.79,+0.40%,0
2015-04-08,695.42,699.62,693.74,697.11,1.69,+0.24%,0
2015-04-07,696.43,701.01,695.37,695.42,-1.01,-0.15%,0
